"indicador","ano","município","valor"
"Matrícula em distorção no ensino fundamental","2008","Santana do Acaraú","2125"
"Matrícula em distorção no ensino fundamental","2008","Santana do Cariri","360"
"Matrícula em distorção no ensino fundamental","2008","São Benedito","1114"
"Matrícula em distorção no ensino fundamental","2008","São Gonçalo do Amarante","514"
"Matrícula em distorção no ensino fundamental","2008","São João do Jaguaribe","184"
"Matrícula em distorção no ensino fundamental","2008","São Luís do Curu","294"
"Matrícula em distorção no ensino fundamental","2008","Senador Pompeu","538"
"Matrícula em distorção no ensino fundamental","2008","Senador Sá","207"
"Matrícula em distorção no ensino fundamental","2008","Sobral","2551"
"Matrícula em distorção no ensino fundamental","2008","Solonópole","231"
"Matrícula em distorção no ensino fundamental","2008","Tabuleiro do Norte","720"
"Matrícula em distorção no ensino fundamental","2008","Tamboril","1489"
"Matrícula em distorção no ensino fundamental","2008","Tarrafas","223"
"Matrícula em distorção no ensino fundamental","2008","Tauá","1052"
"Matrícula em distorção no ensino fundamental","2008","Tejuçuoca","721"
"Matrícula em distorção no ensino fundamental","2008","Tianguá","1771"
"Matrícula em distorção no ensino fundamental","2008","Trairi","1108"
"Matrícula em distorção no ensino fundamental","2008","Tururu","504"
"Matrícula em distorção no ensino fundamental","2008","Ubajara","913"
"Matrícula em distorção no ensino fundamental","2008","Umari","253"
"Matrícula em distorção no ensino fundamental","2008","Umirim","595"
"Matrícula em distorção no ensino fundamental","2008","Uruburetama","453"
"Matrícula em distorção no ensino fundamental","2008","Uruoca","539"
"Matrícula em distorção no ensino fundamental","2008","Varjota","509"
"Matrícula em distorção no ensino fundamental","2008","Várzea Alegre","724"
"Matrícula em distorção no ensino fundamental","2008","Viçosa do Ceará","2976"
"Matrícula em distorção no ensino fundamental","2009","Ceará","254552"
"Matrícula em distorção no ensino fundamental","2009","Abaiara","142"
"Matrícula em distorção no ensino fundamental","2009","Acarape","518"
"Matrícula em distorção no ensino fundamental","2009","Acaraú","1864"
"Matrícula em distorção no ensino fundamental","2009","Acopiara","1266"
"Matrícula em distorção no ensino fundamental","2009","Aiuaba","677"
"Matrícula em distorção no ensino fundamental","2009","Alcântaras","414"
"Matrícula em distorção no ensino fundamental","2009","Altaneira","92"
"Matrícula em distorção no ensino fundamental","2009","Alto Santo","531"
"Matrícula em distorção no ensino fundamental","2009","Amontada","1341"
"Matrícula em distorção no ensino fundamental","2009","Antonina do Norte","336"
"Matrícula em distorção no ensino fundamental","2009","Apuiarés","305"
"Matrícula em distorção no ensino fundamental","2009","Aquiraz","3457"
"Matrícula em distorção no ensino fundamental","2009","Aracati","1460"
"Matrícula em distorção no ensino fundamental","2009","Aracoiaba","879"
"Matrícula em distorção no ensino fundamental","2009","Ararendá","398"
"Matrícula em distorção no ensino fundamental","2009","Araripe","1571"
"Matrícula em distorção no ensino fundamental","2009","Aratuba","341"
"Matrícula em distorção no ensino fundamental","2009","Arneiroz","233"
"Matrícula em distorção no ensino fundamental","2009","Assaré","832"
"Matrícula em distorção no ensino fundamental","2009","Aurora","1040"
"Matrícula em distorção no ensino fundamental","2009","Baixio","228"
"Matrícula em distorção no ensino fundamental","2009","Banabuiú","515"
"Matrícula em distorção no ensino fundamental","2009","Barbalha","1596"
"Matrícula em distorção no ensino fundamental","2009","Barreira","837"
"Matrícula em distorção no ensino fundamental","2009","Barro","843"
"Matrícula em distorção no ensino fundamental","2009","Barroquinha","521"
"Matrícula em distorção no ensino fundamental","2009","Baturité","1169"
"Matrícula em distorção no ensino fundamental","2009","Beberibe","1698"
"Matrícula em distorção no ensino fundamental","2009","Bela Cruz","479"
"Matrícula em distorção no ensino fundamental","2009","Boa Viagem","2371"
"Matrícula em distorção no ensino fundamental","2009","Brejo Santo","1574"
"Matrícula em distorção no ensino fundamental","2009","Camocim","1173"
"Matrícula em distorção no ensino fundamental","2009","Campos Sales","831"
"Matrícula em distorção no ensino fundamental","2009","Canindé","3114"
"Matrícula em distorção no ensino fundamental","2009","Capistrano","538"
"Matrícula em distorção no ensino fundamental","2009","Caridade","808"
"Matrícula em distorção no ensino fundamental","2009","Cariré","538"
"Matrícula em distorção no ensino fundamental","2009","Caririaçu","1272"
"Matrícula em distorção no ensino fundamental","2009","Cariús","406"
"Matrícula em distorção no ensino fundamental","2009","Carnaubal","421"
"Matrícula em distorção no ensino fundamental","2009","Cascavel","2036"
"Matrícula em distorção no ensino fundamental","2009","Catarina","278"
"Matrícula em distorção no ensino fundamental","2009","Catunda","178"
"Matrícula em distorção no ensino fundamental","2009","Caucaia","8701"
"Matrícula em distorção no ensino fundamental","2009","Cedro","878"
"Matrícula em distorção no ensino fundamental","2009","Chaval","471"
"Matrícula em distorção no ensino fundamental","2009","Choró","489"
"Matrícula em distorção no ensino fundamental","2009","Chorozinho","880"
"Matrícula em distorção no ensino fundamental","2009","Coreaú","673"
"Matrícula em distorção no ensino fundamental","2009","Crateús","2824"
"Matrícula em distorção no ensino fundamental","2009","Crato","3208"
"Matrícula em distorção no ensino fundamental","2009","Croatá","53"
"Matrícula em distorção no ensino fundamental","2009","Cruz","359"
"Matrícula em distorção no ensino fundamental","2009","Deputado Irapuan Pinheiro","120"
"Matrícula em distorção no ensino fundamental","2009","Ereré","220"
"Matrícula em distorção no ensino fundamental","2009","Eusébio","1165"
"Matrícula em distorção no ensino fundamental","2009","Farias Brito","476"
"Matrícula em distorção no ensino fundamental","2009","Forquilha","288"
"Matrícula em distorção no ensino fundamental","2009","Fortaleza","66976"
"Matrícula em distorção no ensino fundamental","2009","Fortim","519"
"Matrícula em distorção no ensino fundamental","2009","Frecheirinha","464"
"Matrícula em distorção no ensino fundamental","2009","General Sampaio","424"
"Matrícula em distorção no ensino fundamental","2009","Graça","580"
"Matrícula em distorção no ensino fundamental","2009","Granja","1670"
"Matrícula em distorção no ensino fundamental","2009","Granjeiro","353"
